Company name,Description,Industrial
Air Products & Chemicals,"Air Products & Chemicals, Inc. engages in the business of industrial gases and offers atmospheric and processes gases and related equipment to manufacturing markets, such as refining and petrochemical, metals, electronics, and food and beverages. It operates through the following segments: Industrial Gases-Americas; Industrial Gases-EMEA (Europe, Middle East, and Africa); Industrial Gases-Asia; Industrial Gases-Global; Materials Technologies; and Corporate and Other. The Industrial Gases segment, which covers Americas,Read More EMEA, Asia, and Global markets, produces atmospheric gases such as oxygen, nitrogen, argon, and rare gases; process gases such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas, and specialty gases; and equipment for the production and processing of gases such as air separation units and non-cryogenic generators. The Materials Technologies segment provides solutions to a broad range of global industries through chemical synthesis, analytical technology, process engineering, and surface science. It comprises business divisions: Performance Materials, which is focused on a portfolio of additives products that provide high value properties at low cost across a variety of industries, and Electronic Materials, which is focused on supplying critical materials and equipment to the semiconductor industry. The Corporate and Other segment includes two global equipment businesses, liquefied natural gas sale of equipment business and liquid helium and liquid hydrogen transport and storage containers business. The company was founded by Leonard Parker Pool in 1940 and is headquartered in Allentown, PA.",Specialized Chemicals
Enel,"Enel SpA is a holding company, which engages in the distribution of electricity and gas. Through its subsidiaries, it operates through the following operating segments: Sales; Generation and Energy Management; Infrastructure and Networks; Iberia and Latin America; International; Renewable Energy; and Other. The Sales segment sells electricity to the customers. The Generation and Energy Management segment includes generation and sale of electricity, sale of energy products, and development of natural gas regasification. TheRead More Infrastructure and Networks segment involves in the distribution of electricity and public and artistic lighting. The Iberia and Latin America segment operates electricity and gas markets in Spain, Portugal and Latin America. The International segment manages and integrates the foreign businesses, and monitors and develops business opportunities in the electricity and fuel markets. The Renewable Energy segment develops and operates managing operations for the generation of electricity from renewable resources. The Other segment provides facility management services, information technology services, personnel training and administration, general administrative, factoring and insurance services. The company was founded on December 6, 1962 and is headquartered in Rome, Italy.",Electric Utilities
Kubota,"Kubota Corp. engages in the manufacture and sale of agricultural and construction machinery and equipment. It operates through the following segments: Machinery; Water and Environment; and Others. The Machinery segment consists of agricultural or farm equipment and products, engines, and construction machinery. The Water and Environment segment includes pipe-related products such as ductile iron pipes, plastic pipes, valves, and pumps; environment-related products; and social infrastructure-related products such asRead More industrial castings, spiral welded steel pipes, vending machines, electronic weighing systems, precision and air-conditioning equipment. The Others segment offers design, construction, and residential equipment manufacturing services. The company was founded by Gonshiro Kubota in February 1890 and is headquartered in Osaka, Japan.",Heavy Equipment
NEC,"NEC Corp. engages in the provision of systems, components, services, and integrated solutions for computing and communications applications. It operates through the following segments: Public Business, Enterprise Business, Telecom Carrier Business, System Platform Business, and Others. The Public Business segment provides social solutions for domestic and foreign government agencies, public institutions, financial institutions, and other organizations. The Enterprise Business segment offers information technology solutionsRead More for manufacturing, retail, and services. The Telecom Carrier Business segment supplies equipment to telecom carriers for network implementation, along with network control platform systems and operating services. The System Platform Business deals with products from business such as from terminals to network and computer equipment, software products, and service platforms. The Others segment includes smart energy, mobile phones, and lighting equipment businesses. The company was founded by Kunihiko Iwadare on July 17, 1899 and is headquartered in Tokyo, Japan.",Electronics
CGI Group,"CGI Group, Inc. provides information technology and business process solutions. The company operates through following segments: Canada, United States, Nordics, France, the United Kingdom, ECS and Asia Pacific. Its services include systems integration and consulting, application management, technology management, and business process services. It also provides end to end information technology and business process services to clients in Canada, United States, Europe and Asia Pacific. The company was founded by Serge GodinRead More and André Imbeau in June 1976 and is headquartered in Québec, Canada.",Computer Services
Unipol Gruppo,"Unipol Gruppo Finanziario SpA is a financial services holding company, which engages in the insurance and banking business. Through its subsidiairies, it operates through the following business segments: Non-Life Business, Life Business, Banking Business, Real Estate Business, and Holding and Other Businesses. The Non-Life Business segment provides insurance coverage for motor vehicles, property, accident, health, fire, and miscellaneous damages. The Life Business segment includes whole and term life insurance,Read More capitalization insurance, and pension funds. The Banking Business segment specializes in loans, asset management, and mortgages. The Real Estate Business segment comprises the operations of the subsidiaries, land real estate, and Milan real estate and other activities. The Holding and Other Businesses Services segment deals with policies and management of group companies and includes hotels, medical clinics, and agricultural activities. The company was founded on September 1, 2007 and is headquartered in Bologna, Italy.",Diversified Insurance
UBI Banca,"Unione di Banche Italiane SpA engages in the provision of banking services. It operates through the following business segments: Banking, Non-Banking Financial, and Corporate Center. The Banking segment comprises the network banks of the Group, IW Bank Spa, Banque de Depots et de Gestion Sa, and UBI International Sa. The Non-Banking Financial segment comprises UBI Leasing Spa, UBI Factor Spa, UBI Pramerica SGR Spa, Prestitalia Spa, UBI Fiduciaria Spa, and UBI Gestioni Fiduciarie SIM Spa. The Corporate Center segmentRead More comprises UBI Banca SpA, UBI Sistemi e Servizi Scpa, and all the remaining Group member companies. The company was founded on April 1, 2007 and is headquartered in Bergamo, Italy.",Regional Banks
Agile Property Holdings,"Agile Property Holdings Ltd. operates as an investment holding company. The company operates its business through four segments: Property Development, Property Management, Hotel Operations and Property Investment. It currently owns a diversified portfolio in various cities and districts across China in Guangzhou, Zhongshan, Foshan, Heyuan, Huizhou, Nanjing, Changzhou, Shanghai, Chengdu, Xi'an, Chongqing, Zhengzhou, Hainan, Yunnan, Shenyang and Tianjin. Agile Property Holdings was founded in 1985 and is headquartered in HongRead More Kong.",Real Estate
Pohjola Bank,"Pohjola Bank Plc is a financial company, which provides banking services. It operates through three segments: Banking, Non-Life Insurance and Asset Management. The Banking segment operates as a corporate bank for large and mid-size companies and provides its domestic customers with a range of financial, investment and payment transfer solutions and also at international level and foreign customers with banking services for business needs in Finland and neighboring regions. The Non-Life Insurance segment provides insuranceRead More solutions for private customers and corporate and institutional customers. The Asset Management segment provides asset management services for institutional and private clients and mainly for the portfolio management of OP mutual funds. The company was founded on May 14, 1902 and is headquartered in Helsinki, Finland.",Regional Banks
Interactive Brokers Group,"Interactive Brokers Group, Inc. operates as an investment holding company, which engages in broker or dealer and proprietary trading businesses. It operates through the following segments: Electronic Brokerage, Market Making, and Corporate. The company was founded by Thomas Pechy Peterffy in 1977 and is headquartered in Greenwich, CT.",Investment Services
Southern Company,"The Southern Co. operates as a holding company, which owns all of the common stock of the traditional operating companies and Southern Power Company and owns other direct and indirect subsidiaries. It operates business through the electricity sales by the Traditional Operating Companies and Southern Power segments. The Traditional Operating Companies includes of Alabama Power, Georgia Power, Gulf Power, and Mississippi Power, which are vertically integrated utilities providing electric service in four Southeastern states.Read More The Southern Power segment constructs, acquires, owns, and manages generation assets, including renewable energy projects, and sells electricity at market-based rates in the wholesale market. The company was founded on November 9, 1945 and is headquartered in Atlanta, GA.",Electric Utilities
Tesco,"Tesco Plc engages in the business of retailing and retail banking. The company engages in retail banking and insurance services through its subsidiary, Tesco Bank in the UK. It provides retailing and associated activities in the United Kingdom, China, the Czech Republic, Hungary, Ireland, India, Japan, Malaysia, Poland, Slovakia, South Korea, Thailand, Turkey and the U.S. The company was founded by John Edward Cohen in 1919 and is headquartered in Cheshunt, the United Kingdom.",Food Retail
Public Storage,"Public Storage is a Maryland real estate investment trust. It operates through following business segments: Self-storage Operations, Ancillary Operations, Investment in PS Business Parks and Investment in Shurgard Europe. The Self-storage Operations segment acquires, develops, owns, and operates self-storage facilities which offer storage spaces for lease on a month-to-month basis, for personal and business use. The Ancillary Operations segment deals with reinsure policies against losses to goods stored by customers inRead More self-storage facilities, and sell merchandise, primarily locks and cardboard boxes, at self-storage facilities. The Investment in PS Business Parks segment owns, operates, acquires and develops commercial properties, primarily multi-tenant flex, office, and industrial parks. The Investment in Shurgard Europe segment owns self-storage facilities located in seven countries in Western Europe operated under the Shurgard brand name. The company was founded by Bradley Wayne Hughes, Sr. and Kenneth Q. Volk, Jr. in 1972 and is headquartered in Glendale, CA.",Real Estate
Quanta Computer,"Quanta Computer Inc. manufactures and sells notebook computers and other personal computer-related products. It provides enterprise network systems, home entertainemnt, mobile communication, automotive electronics, and digital home products. Its products include laptop computers, smart phones, servers, digital television sets, car electronics, and wireless devices. The company was founded by Lin Pai Li and Liang Tzu Chen on May 9, 1988 and is headquartered in Taoyuan, Taiwan.",Computer Hardware
Air Canada,"Air Canada provides airline transportation services. It engages in full-service airline, scheduled passenger and cargo services, serving more than 200 airports on six continents. It operates flights in Canada, the USA, Latin America, Europe, Australia and Asia. Air Canada was founded on January 1, 2001 and is headquartered in Saint-Laurent, Canada.",Airline
HAL Trust,"HAL Trust NV engages in the holding of trusts of HAL Holding NV on behalf of Trust shareholders. It operates through the following segments: Optical Retail, Other Unquoted, Quoted Minority Interests, Real Estate, and Liquid Portfolio. The Optical Retail segment sells optical products. The Other Unquoted segment engages in the sale of hearing aid, office furniture, personal protection equipment, construction products, printing, shipping, orthopedic devices, media, and other activities. The Quoted Minority Interests segmentRead More derives its income from its percentage of ownership in publicly traded associates. The Real Estate segment deals with the development and rental of multi-family properties and office buildings. The Liquid Portfolio segment consists of fixed income and equity securities generating interests, dividends and capital gains. The company was founded on October 19, 1977 and is headquartered in Willemstad, the Netherlands.",Investment Services
Pgnig Group,"Polish Oil & Gas Co. engages in the production and sale of natural gas and crude oil. It operates through the following segments: Exploration and Production, Trade and Storage, Distribution, and Power Generation. The Exploration and Production segment covers the entire process of oil and gas production starting from geophysical surveys prior to the exploration phase until field operation and product preparation for marketing. The Trade and Storage Segment sells imported natural gas and natural gas produced from the domesticRead More reserves. The Distribution segment involves the transmission of high-methane and nitrogen-rich gas, as well as small amounts of propane/butane and coke-oven gas, via the distribution network. The Power Generation segment deals with the generation, distribution, and sale of heat and electricity. The company was founded on September 1, 1982 and is headquartered in Warsaw, Poland.",Oil & Gas Operations
WW Grainger,"W.W. Grainger, Inc. operates as a distributor of maintenance, repair and operating products. The company offers maintenance, repair and operating supplies and other related products and services through local branches, catalogs and the Internet. It offers a combination of product breadth, local availability, speed of delivery, detailed product information and competitively priced products and services. Its products include material handling equipment, safety and security supplies, lighting and electrical products, power andRead More hand tools, pumps and plumbing supplies, cleaning and maintenance supplies, forestry and agriculture equipment, building and home inspection supplies, vehicle and fleet components and many other items primarily focused on the facilities maintenance market. The company also provides inventory management and energy efficiency solutions. W.W. Grainger was founded by William Wallace Grainger in 1927 and is headquartered in Lake Forest, IL.",Electrical Equipment
Kuwait Finance House,"Kuwait Finance House KSC engages in the provision of banking, finance and investment services. The company focuses on banking services, the purchase and sale of properties, leasing, project construction for its own account as well as for third parties and other trading activities without practicing usury. It operates through the following segments: Treasury, Investment, and Banking. The Treasury segment deals with liquidity management, international murabaha investments, exchange of deposits with banks and financialRead More institution, and international banking relationships. The Investment segment manages direct equity and real estate investments, investments in subsidiaries and associates, and international leasing. The Banking segment provides a range of banking services and investment products to corporate and individual customers. The company was founded on March 23, 1977 and is headquartered in Kuwait City, Kuwait.",Regional Banks
Renault,"Renault SA is a French multinational vehicle manufacturer, which engages in the design and manufacture of automobiles and other motor vehicles. The company also offers tractors, farm machinery, and construction equipment. It provides passenger cars and light commercial vehicles; electric vehicles; sports vehicles; and power train components. The company also offers financing and insurance services; maintenance and repair services; car hire services; vehicle assistance services; consulting services; and vehicle customizationRead More services. It sells its vehicles under the brand names of Renault, Dacia, and Renault Samsung Motors. The company operates its business through the following segments: Automotive and Sales Financing. The Automotive segment comprises the production, sales, and distribution for passenger and light commercial vehicles. The Sales Financing segment involves Renault Credit International Banque and its subsidiaries for the distribution network and final customers. Renault was founded by Louis Renault in 1898 and is headquartered in Boulogne-Billancourt, France.",Auto & Truck Manufacturers
Concho Resources,"Concho Resources, Inc. is an independent oil and natural gas company, which engages in the acquisition, development and exploration of oil and natural gas properties. Its operations are focused in the Permian Basin region of Southeast New Mexico and West Texas. The company's three core operating areas include New Mexico Shelf, Delaware Basin and Texas Permian. The company was founded on February 22, 2006 and is headquartered in Midland, TX.",Oil & Gas Operations
Bank of Yokohama,"The Bank of Yokohama, Ltd. engages in the provision of banking, leasing, securities, and other financial services. It also handles investment products, one-stop service for both banking and securities, and assets with inheritance and trust related companies. The company was founded on December 16, 1920 and is headquartered in Yokohama, Japan.",Regional Banks
GS Holdings,"GS Holdings Corp. is a holding company that engages in the management of its subsidiaries. It operates through the following Businesses: Petroleum and Petrochemical, Retail, Home Shopping, Energy and Sports Business. The Petroleum and Petrochemical Business provides refining and sale of petroleum and products chemicals. The Retail Business deals with convenience stores, supermarkets. The Home Shopping Business provides services such as TV, Internet shopping and Catalog direct marketing. The Energy Business produces machinesRead More such as Heat Recovery Steam Generator (HRSG) & Steam Drum for Combined Cycle Power Plant. The Sports Business operates a soccer team FC Seoul. The company was founded on July 1, 2004 and is headquartered in Seoul, South Korea.",Oil & Gas Operations
Murphy Oil,"Murphy Oil Corp. is a holding company, which engages in the exploration and production of oil and gas. It operates through the following geographical segments: United States, Canada, Malaysia, and Republic of the Congo. Its products include oil and gas liquids, natural gas, and synthetic oil. The company was founded by Charles H. Murphy, Jr. in 1950 and is headquartered in El Dorado, AR.",Oil & Gas Operations
Chongqing Changan Auto,"Chongqing Changan Automobile Co. Ltd. engages in the manufacturing and distribution of automobiles, automobile engines and spare parts. The company's products include passenger and commercial vehicles. It operates factories in Chongqing, Beijing, Jiangsu, Hebei, Zhejiang, and Jiangxi. The company was founded in 1862 and is headquartered in Chongqing, China.",Auto & Truck Manufacturers
Schroders,"Federal National Mortgage Association is a government-sponsored company. It provides liquidity, stability and affordability to the U.S. housing and mortgage markets and its activities include providing market liquidity by securitizing mortgage loans originated by lenders in the primary mortgage market into Fannie Mae mortgage-backed securities and purchasing mortgage loans and mortgage-related securities in the secondary market. The company operates through three segments: Single-Family Credit Guaranty, Multifamily, andRead More Capital Markets. The Single-Family segment generates revenue primarily from the guaranty fees on the mortgage loans underlying guaranteed single-family Fannie Mae mortgage-backed securities. The Multifamily segment generates revenue from a variety of sources, including guaranty fees on the mortgage loans underlying multifamily Fannie Mae MBS and on the multifamily mortgage loans held in its portfolio, transaction fees associated with the multifamily business and bond credit enhancement fees. The Capital Markets segment invests in mortgage loans, mortgage-related securities and other investments, and generates income primarily from the difference, or spread, between the yields on the mortgage assets it owns and the interest paid on the debt the company issued in the global capital markets to fund the purchases of these mortgage assets. The company was founded in 1938 and is headquartered in Washington, DC.",Investment Services
Bankinter,"Bankinter SA engages in the provision of banking and financial services. It operates through the following segments: private banking, personal banking and corporate banking. It offers a range of solutions such as personal account, business account, deposits, and investments. The company was founded in June 1965 and is headquartered in Mardrid, Spain.",Regional Banks
Scor,"SCOR SE operates as a reinsurance company. The company operates its business through two segments: SCOR Global P&C and SCOR Global Life. The SCOR Global P&C segment focuses on property and casualty insurance and reinsurance products. The SCOR Global Life segment focuses only on reinsurance products. The company was founded on August 16, 1855 and is headquartered in Paris, France.",Diversified Insurance
JBS,"JBS SA is a producer of proteins. It is engaged in the operation of slaughter facilities, cold storage of cattle meat, meat processing operations for the production of beef, meat by-products and canned goods. The company also markets hygiene and cleaning products, collagen, metal packaging, biodiesel and other items. It operates through three business segments: Beef, Chicken & Pork. The Beef segment is engaged slaughter facility, cold storage and meat processing operations for the production of beef preservatives, fat,Read More feed, and derivate products. The Poultry segment is represented by in natura products, refrigerated as a whole or in pieces. The Pork segment slaughters, processes and delivers in natura products. JBS was founded by José Batista Sobrinho in 1953 and is headquartered in São Paulo, Brazil.",Food Processing
Lagardère,"Lagardére SCA operates as a media group company. It provides media services, including publishing of books and magazines; provides television and radio broadcasting and promotes sport events. The company operates through four divisions: Lagardére Publishing, Lagardére Active, Lagardére Services and Lagardére Unlimited. The Lagardére Publishing division engages in the book publishing and e-publishing businesses, which cover the areas of education, general literature, illustrated books, part works, dictionaries and youthRead More works and distribution. The Lagardére Active division involves in the magazine publishing, audiovisual (Radio, Television, Audiovisual Production), digital and advertising sales brokerage businesses. The Lagardere Services division is engaged in the travel retail and distribution businesses, as well as LS distribution, LS travel retail EMEA, LS travel retail ASPAC and LS travel retail North America. The Lagardére Unlimited division is specialized in the Sport Industry and Entertainment businesses, this division also involves in the management of broadcasting rights, marketing of rights and associated products, organization and management of events, representation of celebrities, consulting in the management and operation of stadiums and multipurpose venues and management of sports training academies. The company was founded in 1826 and is headquartered in Paris, France.",Printing & Publishing
ANZ,"Australia & New Zealand Banking Group Ltd. provides a range of banking, financial products and services to retail, small business, corporate and institutional clients. The company operates primarily in Australia, New Zealand, and the Asia Pacific region. It also operates in a number of other countries, including the United Kingdom and the United States. The Group operates on a divisional structure with Australia, International & Institutional Banking, New Zealand and Global Wealth & Private Banking being the major operatingRead More divisions. The Australia division comprises Retail and commercial business units. The Retail unit includes mortgages, consumer cards and unsecured lending and deposits. The Commercial unit includes esanda, regional and commercial banking, business banking and small business banking. The International & Institutional Banking division comprises global institutional, retail Asia Pacific and Asia partnerships business units, together with relationship & infrastructure. The New Zealand division comprises retail and commercial business units & operations and support which includes the central support function. The Global Wealth & Private Banking division comprises funds management, insurance and private banking which provides investment, superannuation, insurance products and services for customers across Australia, New Zealand and Asia. The company was founded in 1970 and is headquartered in Docklands, Australia.",Major Banks
General Mills,"General Mills, Inc. engages in the manufacture and marketing of branded consumer foods sold through retail stores. It operates through the following segments: U.S. Retail, International, and Convenience Stores & Foodservice. The U.S. Retail segment operates grocery stores, mass merchandisers, membership stores, natural food chains, and drug, dollar and discount chains throughout the United States. This segment products include ready-to-eat cereals, refrigerated yogurt, ready-to-serve soup, dry dinners, shelf stable andRead More frozen vegetables, refrigerated and frozen dough products, dessert and baking mixes, frozen pizza and pizza snacks, grain, fruit and savory snacks, and a wide variety of organic products include granola bars, cereal, and soup. The International segment consists of retail and foodservice businesses outside of the United States. This segment products include ready-to-eat cereals, shelf stable and frozen vegetables, dry dinners, refrigerated and frozen dough products, dessert and baking mixes, frozen pizza, snacks, refrigerated yogurt, and grain and fruit snacks. The Convenience Stores & Foodservice segment products include cereals, snacks, yogurt, unbaked and fully baked frozen dough products, baking mixes, and flour. The company was founded by Cadwallader C. Washburn in 1866 and is headquartered in Minneapolis, MN.",Food Processing
Yuanta Financial Holding,"Yuanta Financial Holding Co. Ltd. operates as a financial services firm. It provides products and services in banking, insurance, futures, investment trust, investment consulting, venture capital, and asset management. The company was founded on February 4, 2002 and is headquartered in Taipei, Taiwan.",Investment Services
Mediolanum,"Mediolanum SpA is a holding company, which primarily engages in the management of its insurance product companies. Through its subsidiaries, it also operates through the following business segments: Italy-Insurance, Italy-Banking, Italy-Asset Management, Spain, and Germany. It also provides other financial services including current accounts, credit cards, mortgages and loans, pensions, managed savings, and general insurance. The company was founded by Ennio Doris in December 1995 and is headquartered in Basiglio, Italy.",Life & Health Insurance
Kingfisher,"Kingfisher Plc operates as home improvement retailer. It engages in the supply of home improvement products and services. Its operates through the United Kingdom & Ireland and Other International geographical segments. The Other International segment consists of Poland, China, Germany, Portugal, Romania, Russia, and Spain. Its main retail brands are B&Q, Castorama, Brico Dépôt, and Screwfix. The company was founded in 1982 and is headquartered in London, the United Kingdom.",Home Improvement Retail
DaVita,"DaVita, Inc. engages in the provision of medical care services. It operates through Kidney Care and HealthCare Partners segments. The Kidney Care segment focuses on the delivery of dialysis services to patients with chronic kidney failure and end stage renal disease. The HealthCare Partners segment deals with the management and operation of medical groups and affiliated physician networks in California, Nevada, New Mexico, Florida, Colorado, and Washington. The company was founded in 1994 and is headquartered in Denver, CO.",Healthcare Services
Kobe Steel,"Kobe Steel, Ltd. engages in the manufacture, production, and sale of iron and steel. Its operations are carried out through the following business segments: Iron and Steel, Welding, Aluminum and Copper, Machinery, Engineering, Kobelco Eco-Solutions, Kobelco Construction Machinery, Kobelco Cranes, and Other Businesses. The Iron and Steel Business segment includes steel wire rods and bars, steel sheets, steel billets, steel castings and forgings, titanium and titanium alloys, foundry pig iron, slag products, stainless steelRead More tube, construction materials, and other specialty steel products. The Welding Business segment provides welding materials, welding systems, high functional materials and related services. The Aluminum and Copper Business segment covers aluminum sheets and plates, aluminum extrusions and fabricated products, aluminum castings and forgings, copper sheets and strips and copper tubes. The Machinery Business segment provides tire and rubber machinery, plastic processing machinery, advanced technology equipment, metalworking machinery, nonstandard compressors, standard compressors, chemical and energy equipment, nuclear power equipment and related services. The Engineering Business segment includes ironmaking processes, iron ore-pelletizing system, nuclear power products, chemical weapons destruction services, steel structures and sabo, urban transit systems and upgrading of low-rank coal. The Kobelco Eco Solutions Business segment provides water treatment products, cooling towers, waste treatment and recycling, process equipment and environmental analysis. The Kobelco Construction Machinery Business segment covers construction equipment, construction recycling machinery, metal recycling machinery, resource recycling machinery and forestry machinery. The Kobelco Cranes Business segment includes crawler cranes, wheel cranes, specialized base machines for engineering and foundation work, and work vessels. The Other Businesses segment provides real estate development, construction, sales, brokering and remodeling, material analysis and testing, structural assessment, manufacture and sale of sputtering targets. The company was founded on September 1, 1905 and is headquartered in Kobe, Japan.",Iron & Steel
Kone,"Kone Oyj engages in the design and manufacture of elevators and escalators. Its business activities include the provision of solutions for the maintenance and modernization of products, and offers maintenance for automatic building doors. The company was founded on October 27, 1910 and is headquartered in Helsinki, Finland.",Construction Services
General Growth Properties,"GGP, Inc. is a real estate investment trust, which operates, manages, develops and acquires retail and other rental properties in regional malls. The portfolio of regional malls represents a collection of retail properties that are targeted to a range of market sizes and consumer tastes. The company was founded by Matthew Bucksbaum and Martin Bucksbaum in 1954 and is headquartered in Chicago, IL.",Real Estate
